Name,Public_Display_Name__c,Public_Search_Keywords__c,Publicly_Listed__c,Supports_Enrollment__c,Enrollment_URL__c,Institution_Status__c,Logo_URL__c,Logo_ContentVersionId__c,Website
"Space Coast Credit Union","Space Coast Credit Union","Space Coast Credit Union Zelle 2VH S","true","true","https://www.sccu.com/Zelle","Active","https://enroll.zellepay.com/logos/zellepay/2VH.png","","https://www.sccu.com/Zelle"
"Spectrum Credit Union","Spectrum Credit Union","Spectrum Credit Union Zelle JH6 S","true","true","https://zelle.jhapaycenter.com/JH6.html","Active","https://enroll.zellepay.com/logos/zellepay/JH6.png","","https://zelle.jhapaycenter.com/JH6.html"
"Spencer County Bank","Spencer County Bank","Spencer County Bank Zelle 34G S","true","true","https://www.spencercountybank.com/Zelle","Active","https://enroll.zellepay.com/logos/zellepay/34G.png","","https://www.spencercountybank.com/Zelle"
"Spencer Savings Bank","Spencer Savings Bank","Spencer Savings Bank Zelle 3G3 S","true","true","https://www.spencersavings.com/personal-banking/zelle/","Active","https://enroll.zellepay.com/logos/zellepay/3G3.png","","https://www.spencersavings.com/personal-banking/zelle/"
"SpiritBank","SpiritBank","SpiritBank Zelle 2NL S","true","true","https://www.spiritbank.com/ebranch-services/zelle/","Active","https://enroll.zellepay.com/logos/zellepay/2NL.png","","https://www.spiritbank.com/ebranch-services/zelle/"
"SPRATT SAVINGS BANK","SPRATT SAVINGS BANK","SPRATT SAVINGS BANK Zelle 2P5 S","true","true","https://www.sprattsavingsbank.com/zelle/","Active","https://enroll.zellepay.com/logos/zellepay/2P5.png","","https://www.sprattsavingsbank.com/zelle/"
"Spring Bank","Spring Bank","Spring Bank Zelle 0N5 S","true","true","https://spring.bank/zelle","Active","https://enroll.zellepay.com/logos/zellepay/0N5.png","","https://spring.bank/zelle"
"Spring Bank Brookfield WI","Spring Bank Brookfield WI","Spring Bank Brookfield WI Zelle JQY S","true","true","https://springbankwi.com/zelle-landing-page","Active","https://enroll.zellepay.com/logos/zellepay/JQY.png","","https://springbankwi.com/zelle-landing-page"
"Springfield State Bank","Springfield State Bank","Springfield State Bank Zelle 3AW S","true","true","https://www.springfieldstate.bank/zelle","Active","https://enroll.zellepay.com/logos/zellepay/3AW.png","","https://www.springfieldstate.bank/zelle"
"Springs Valley Bank & Trust Co","Springs Valley Bank & Trust Co","Springs Valley Bank & Trust Co Zelle 22Z S","true","true","https://www.svbt.bank/Zelle.aspx","Active","https://enroll.zellepay.com/logos/zellepay/22Z.png","","https://www.svbt.bank/Zelle.aspx"
"SSB Kenyon","SSB Kenyon","SSB Kenyon Zelle 27I S","true","true","https://www.ssbkenyon.com/zelle/","Active","https://enroll.zellepay.com/logos/zellepay/27I.png","","https://www.ssbkenyon.com/zelle/"
"ST ANSGAR STATE BANK","ST ANSGAR STATE BANK","ST ANSGAR STATE BANK Zelle 2NW S","true","true","https://www.stansgarbank.com/Zelle","Active","https://enroll.zellepay.com/logos/zellepay/2NW.png","","https://www.stansgarbank.com/Zelle"
"St Louis Bank","St Louis Bank","St Louis Bank Zelle 3KE S","true","true","https://www.stlouisbank.com/Zelle","Active","https://enroll.zellepay.com/logos/zellepay/3KE.png","","https://www.stlouisbank.com/Zelle"
"St Marys Credit Union","St Marys Credit Union","St Marys Credit Union Zelle 29P S","true","true","https://www.stmaryscu.org/services-tools/account-services/zelle.html","Active","https://enroll.zellepay.com/logos/zellepay/29P.png","","https://www.stmaryscu.org/services-tools/account-services/zelle.html"
